cluster_label,nilai ips_mean,nilai ips_std,nilai ips_count,IPS_mean,IPS_std,IPS_count,IPS.1_mean,IPS.1_std,IPS.1_count,IPS.2_mean,IPS.2_std,IPS.2_count,Rata-Rata IPS_mean,Rata-Rata IPS_std,Rata-Rata IPS_count,Rata-Rata Absen Mahasiswa_mean,Rata-Rata Absen Mahasiswa_std,Rata-Rata Absen Mahasiswa_count,ABSENSI RATA RATA_mean,ABSENSI RATA RATA_std,ABSENSI RATA RATA_count,ABSENSI RATA_RATA_mean,ABSENSI RATA_RATA_std,ABSENSI RATA_RATA_count,ABSENSI RATA RATA.1_mean,ABSENSI RATA RATA.1_std,ABSENSI RATA RATA.1_count,ABSENSI RATA RATA.2_mean,ABSENSI RATA RATA.2_std,ABSENSI RATA RATA.2_count,JK_mean,JK_std,JK_count,Angkatan Tahun_mean,Angkatan Tahun_std,Angkatan Tahun_count
Cukup,3.632857142857143,0.05056820005836545,7,3.6014285714285714,0.1069935467568911,7,3.642857142857143,0.1290625540470313,7,3.6,0.10847426730181998,7,3.1271428571428572,0.17133926245067946,7,100.0,0.0,7,99.33142857142856,0.8338550747667655,7,99.90142857142857,0.2607954863763681,7,99.88857142857144,0.2948122889471968,7,99.88857142857144,0.2948122889471968,7,1.5714285714285714,0.5345224838248488,7,2022.0,0.0,7
Rendah,3.4433333333333334,0.19075289425501954,6,3.49,0.2656313234541439,6,3.473333333333333,0.30761447733594505,6,3.4783333333333335,0.18914720898460732,6,3.1316666666666664,0.22578012903412623,6,98.09833333333334,1.2233138054753825,6,97.66000000000001,0.6976532089799362,6,98.14833333333333,1.5001388824594473,6,99.21999999999998,1.2083708040167176,6,98.95833333333333,1.827702565152944,6,1.0,0.0,6,2022.0,0.0,6
Sangat Tinggi,3.876666666666667,0.03326659986633253,6,3.8466666666666662,0.0417931413830866,6,3.8366666666666664,0.06976149845485445,6,3.8266666666666667,0.04457203906785813,6,3.52,0.15811388300841908,6,99.74000000000001,0.6368673331236256,6,98.44,0.6976532089799349,6,99.65333333333332,0.5808843832180941,6,99.48,0.9446269104784202,6,99.74000000000001,0.6368673331236265,6,1.0,0.0,6,2022.0,0.0,6
Sedang,3.815,0.04932882862316257,4,3.7800000000000002,0.08755950357709125,4,3.9025,0.06184658438426487,4,3.795,0.009999999999999972,4,3.4525,0.17914147109663564,4,99.805,0.3900000000000002,4,100.0,0.0,4,100.0,0.0,4,99.805,0.39000000000000257,4,99.41499999999999,1.1700000000000026,4,2.0,0.0,4,2022.0,0.0,4
Tinggi,3.808,0.12132600710482488,5,3.7659999999999996,0.06913754406977436,5,3.864,0.06693280212272593,5,3.768,0.0920326029187483,5,3.556,0.30054949675552606,5,97.804,1.2714676559000575,5,97.814,1.60242940562135,5,97.5,1.2647331734401568,5,97.97,1.5248606493709507,5,97.346,1.52255705968611,5,1.8,0.4472135954999579,5,2022.0,0.0,5
